Name,Country,Description,Launch_Date,Founders,Revenue_Year_1,Revenue_Year_2,Revenue_Year_3,Current_Status
Freshworks,India,Customer engagement software (SaaS).,2010-10-13,"Girish Mathrubootham, Shan Krishnasamy",$0,$0.5M,$2M,Successful
Oyo Rooms,India,Hospitality and hotel chain aggregator.,2013-05-01,Ritesh Agarwal,$0,$0.3M,$2.5M,Successful
Dream11,India,Fantasy sports platform.,2008-01-01,"Harsh Jain, Bhavit Sheth",$0,$0,$0.2M,Successful
Zerodha,India,Financial services and stock brokerage.,2010-08-15,"Nithin Kamath, Nikhil Kamath",$0.1M,$0.5M,$1.5M,Successful
Core BioTech Hub 20,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,2015-01-13,Priya Sharma,$54k,$1.6M,$6.8M,Successful
Global Logistics Nexus 21,UAE,A leading UAE-based Logistics startup specializing in scalable and innovative solutions for the global market.,2013-07-27,"Sarah Jenkins, Li Wei",$157k,$378k,$1.8M,Successful
Prime EdTech Solutions 22,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2010-12-24,"Emma Wilson, Sanjay Gupta, Aisha Khan",$6k,$1.4M,$7.3M,Successful
Prime Cybersecurity Wave 23,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2014-04-06,"Vikram Singh, Sanjay Gupta",$386k,$1.2M,$12.9M,Successful
Zenith CleanTech Labs 24,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2010-06-15,"Emma Wilson, Michael O'Connor, Priya Sharma",$125k,$234k,$1.7M,Failed
Apex BioTech Labs 25,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2018-11-07,"Kavita Reddy, Priya Sharma, Vikram Singh",$208k,$1.1M,$7.7M,Successful
Core EdTech Systems 26,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,2012-03-15,"Michael O'Connor, Kavita Reddy",$191k,$1.5M,$5.5M,Acquired
Zenith BioTech Nexus 27,Canada,A leading Canada-based BioTech startup specializing in scalable and innovative solutions for the global market.,2011-02-14,Kavita Reddy,$225k,$335k,$4.5M,Successful
Smart EdTech Point 28,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2014-08-19,"Priya Sharma, Elena Rossi, Sanjay Gupta",$8k,$479k,$13.9M,Successful
Smart FinTech Labs 29,Australia,A leading Australia-based FinTech startup specializing in scalable and innovative solutions for the global market.,2020-05-09,"Michael O'Connor, Kavita Reddy",$367k,$143k,$9.3M,Acquired
Core AgriTech Point 30,UAE,A leading UAE-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2012-01-05,"Sarah Jenkins, Kavita Reddy",$112k,$313k,$6.7M,Successful
Zenith BioTech Technologies 31,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2011-02-20,"Li Wei, Aisha Khan, Michael O'Connor",$307k,$966k,$1.7M,Successful
Prime EdTech Point 32,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,2011-12-09,Anjali Rao,$249k,$1.2M,$11.5M,Successful
Apex Logistics Technologies 33,Israel,A leading Israel-based Logistics startup specializing in scalable and innovative solutions for the global market.,2012-03-10,"Anjali Rao, Sanjay Gupta, Emma Wilson",$422k,$216k,$6.3M,Acquired
Zenith Logistics Solutions 34,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,2021-09-23,"Arjun Mehta, Aisha Khan",$164k,$1.6M,$5.3M,Successful
Global FinTech Labs 35,Israel,A leading Israel-based FinTech startup specializing in scalable and innovative solutions for the global market.,2013-04-15,"Aisha Khan, Michael O'Connor",$73k,$964k,$11.1M,Successful
NextGen E-commerce Flow 36,UK,A leading UK-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2010-08-24,"Sarah Jenkins, Anjali Rao",$143k,$826k,$14.5M,Successful
Smart BioTech Flow 37,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,2016-02-27,"Arjun Mehta, Vikram Singh, Priya Sharma",$409k,$1.1M,$8.6M,Successful
Global SaaS Systems 38,Israel,A leading Israel-based SaaS startup specializing in scalable and innovative solutions for the global market.,2017-03-04,"Emma Wilson, Sarah Jenkins",$367k,$896k,$12.7M,Acquired
Zenith SaaS Nexus 39,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,2019-08-13,Emma Wilson,$235k,$1.2M,$5.1M,Acquired
Smart Logistics Hub 40,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,2016-12-19,"David Chen, Vikram Singh",$330k,$1.4M,$6.8M,Successful
Apex CleanTech Wave 41,Singapore,A leading Singapore-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2020-08-03,"Sanjay Gupta, David Chen, Elena Rossi",$15k,$590k,$5.4M,Failed
Elite Cybersecurity Solutions 42,South Korea,A leading South Korea-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2021-05-03,"David Chen, Priya Sharma, Aisha Khan",$180k,$554k,$12.1M,Successful
Zenith HealthTech Flow 43,UAE,A leading UAE-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2011-10-17,"Michael O'Connor, Priya Sharma, Anjali Rao",$293k,$1.9M,$1.6M,Successful
Smart AgriTech Network 44,USA,A leading USA-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2013-11-16,Sarah Jenkins,$173k,$199k,$6.9M,Failed
Quantum HealthTech Network 45,South Korea,A leading South Korea-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2012-09-26,"Sanjay Gupta, Rohan Das, Li Wei",$232k,$224k,$7.2M,Acquired
Nova BioTech Solutions 46,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2014-02-19,"Vikram Singh, Sanjay Gupta",$347k,$902k,$8.3M,Successful
Prime AI/ML Labs 47,South Korea,A leading South Korea-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2018-10-07,"Sarah Jenkins, Li Wei",$206k,$279k,$15.0M,Successful
NextGen FinTech Systems 48,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,2022-09-17,Li Wei,$285k,$356k,$12.8M,Successful
Prime E-commerce Hub 49,Brazil,A leading Brazil-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-05-01,Michael O'Connor,$430k,$1.7M,$8.2M,Successful
Apex AI/ML Solutions 50,India,A leading India-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2013-10-16,"Rohan Das, Li Wei",$286k,$1.5M,$12.9M,Successful
Smart CleanTech Technologies 51,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2022-05-07,Elena Rossi,$6k,$574k,$7.0M,Successful
Core SaaS Wave 52,Brazil,A leading Brazil-based SaaS startup specializing in scalable and innovative solutions for the global market.,2010-05-11,"Li Wei, Emma Wilson, Sarah Jenkins",$371k,$332k,$4.2M,Failed
Smart SaaS Network 53,USA,A leading USA-based SaaS startup specializing in scalable and innovative solutions for the global market.,2015-06-22,"David Chen, Rohan Das, Arjun Mehta",$8k,$983k,$1.5M,Acquired
Nova FinTech Technologies 54,Singapore,A leading Singapore-based FinTech startup specializing in scalable and innovative solutions for the global market.,2010-01-01,"Kavita Reddy, Sarah Jenkins, Arjun Mehta",$57k,$1.1M,$2.1M,Successful
Quantum Logistics Flow 55,South Korea,A leading South Korea-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-11-08,"Michael O'Connor, Anjali Rao",$492k,$938k,$7.8M,Successful
Prime HealthTech Flow 56,Brazil,A leading Brazil-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2020-05-04,"Sarah Jenkins, Kavita Reddy",$431k,$1.3M,$2.7M,Successful
Smart PropTech Point 57,Japan,A leading Japan-based PropTech startup specializing in scalable and innovative solutions for the global market.,2022-10-16,Aisha Khan,$418k,$1.5M,$9.7M,Acquired
Global E-commerce Wave 58,France,A leading France-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-03-21,"Sarah Jenkins, Rohan Das",$263k,$1.9M,$10.8M,Successful
Quantum BioTech Technologies 59,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2017-02-24,"Sarah Jenkins, David Chen",$319k,$1.4M,$2.3M,Acquired
Zenith AI/ML Wave 60,India,A leading India-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2018-09-12,"Anjali Rao, Li Wei, Rohan Das",$115k,$581k,$4.0M,Successful
Quantum E-commerce Wave 61,France,A leading France-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2012-04-12,Li Wei,$224k,$641k,$15.0M,Successful
NextGen EdTech Wave 62,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,2011-03-17,Priya Sharma,$63k,$1.6M,$9.2M,Successful
Prime Cybersecurity Wave 63,France,A leading France-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2010-02-09,Vikram Singh,$146k,$1.9M,$11.7M,Failed
Zenith AgriTech Wave 64,Japan,A leading Japan-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2015-04-13,"Li Wei, Vikram Singh",$453k,$2.0M,$14.1M,Acquired
NextGen Logistics Nexus 65,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,2010-07-05,"Arjun Mehta, Sarah Jenkins, Vikram Singh",$483k,$2.0M,$10.2M,Acquired
Smart EdTech Flow 66,Singapore,A leading Singapore-based EdTech startup specializing in scalable and innovative solutions for the global market.,2021-02-27,"Li Wei, Sanjay Gupta, Michael O'Connor",$158k,$432k,$1.8M,Successful
Core Logistics Technologies 67,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-02-20,"Sarah Jenkins, Rohan Das",$271k,$104k,$3.3M,Successful
Smart Logistics Hub 68,Canada,A leading Canada-based Logistics startup specializing in scalable and innovative solutions for the global market.,2016-02-16,"Arjun Mehta, Aisha Khan, Elena Rossi",$252k,$1.3M,$3.7M,Successful
Global BioTech Wave 69,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,2017-08-22,"Aisha Khan, Priya Sharma",$323k,$1.0M,$14.6M,Failed
Elite AI/ML Technologies 70,UK,A leading UK-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2019-09-23,"Rohan Das, David Chen, Elena Rossi",$44k,$295k,$7.5M,Successful
Apex BioTech Systems 71,Singapore,A leading Singapore-based BioTech startup specializing in scalable and innovative solutions for the global market.,2018-01-26,"Anjali Rao, Michael O'Connor",$165k,$1.1M,$8.7M,Successful
NextGen AgriTech Point 72,Israel,A leading Israel-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2021-10-01,Arjun Mehta,$222k,$1.2M,$7.4M,Successful
Core Cybersecurity Point 73,Germany,A leading Germany-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2017-03-06,"Rohan Das, Sanjay Gupta",$368k,$1.3M,$8.4M,Acquired
Smart BioTech Network 74,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,2021-11-25,"Kavita Reddy, Michael O'Connor, Arjun Mehta",$324k,$1.8M,$13.0M,Successful
Smart Logistics Solutions 75,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,2022-01-24,"Elena Rossi, Sanjay Gupta",$182k,$1.8M,$12.9M,Successful
NextGen SaaS Nexus 76,USA,A leading USA-based SaaS startup specializing in scalable and innovative solutions for the global market.,2012-05-27,"Elena Rossi, Sarah Jenkins, Sanjay Gupta",$157k,$1.8M,$2.2M,Successful
Elite EdTech Network 77,USA,A leading USA-based EdTech startup specializing in scalable and innovative solutions for the global market.,2014-09-21,"Kavita Reddy, Aisha Khan, Li Wei",$236k,$1.7M,$3.4M,Successful
Elite AgriTech Systems 78,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2019-02-12,Sarah Jenkins,$216k,$615k,$12.2M,Failed
Quantum FinTech Solutions 79,India,A leading India-based FinTech startup specializing in scalable and innovative solutions for the global market.,2020-09-25,Aisha Khan,$133k,$718k,$13.4M,Successful
Global CleanTech Flow 80,South Korea,A leading South Korea-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2022-03-13,"Rohan Das, Anjali Rao, Sarah Jenkins",$365k,$1.6M,$13.9M,Failed
Global CleanTech Technologies 81,UK,A leading UK-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2022-11-23,"Arjun Mehta, Elena Rossi, Michael O'Connor",$274k,$1.4M,$12.2M,Successful
Smart CleanTech Systems 82,South Korea,A leading South Korea-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2012-01-03,Sarah Jenkins,$151k,$795k,$13.2M,Successful
Zenith E-commerce Labs 83,India,A leading India-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-02-15,Vikram Singh,$422k,$1.1M,$8.5M,Successful
Nova SaaS Network 84,South Korea,A leading South Korea-based SaaS startup specializing in scalable and innovative solutions for the global market.,2022-01-02,"Kavita Reddy, Anjali Rao, Sarah Jenkins",$10k,$522k,$4.2M,Successful
Quantum SaaS Systems 85,France,A leading France-based SaaS startup specializing in scalable and innovative solutions for the global market.,2015-09-27,"Emma Wilson, Vikram Singh",$33k,$714k,$12.4M,Successful
Apex HealthTech Labs 86,UAE,A leading UAE-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2022-02-17,Michael O'Connor,$347k,$999k,$1.4M,Successful
Apex CleanTech Network 87,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2019-01-12,"Kavita Reddy, Elena Rossi, Li Wei",$57k,$1.7M,$2.5M,Successful
Smart CleanTech Labs 88,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2011-09-19,"Emma Wilson, Rohan Das, Priya Sharma",$480k,$1.3M,$5.9M,Successful
Global HealthTech Solutions 89,Israel,A leading Israel-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2010-06-06,David Chen,$451k,$1.0M,$3.5M,Acquired
Core E-commerce Nexus 90,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2019-10-10,Michael O'Connor,$63k,$1.9M,$6.2M,Successful
Quantum FinTech Technologies 91,UAE,A leading UAE-based FinTech startup specializing in scalable and innovative solutions for the global market.,2010-01-17,Sarah Jenkins,$67k,$144k,$4.8M,Acquired
NextGen E-commerce Wave 92,Israel,A leading Israel-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2022-10-22,"Anjali Rao, Emma Wilson, Li Wei",$303k,$1.6M,$7.3M,Successful
Zenith E-commerce Flow 93,Israel,A leading Israel-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2010-09-05,"Arjun Mehta, Rohan Das",$500k,$766k,$13.6M,Successful
Prime E-commerce Hub 94,India,A leading India-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2017-06-16,"Elena Rossi, Kavita Reddy",$199k,$1.4M,$13.9M,Successful
Apex E-commerce Labs 95,Israel,A leading Israel-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2013-10-17,"Elena Rossi, Aisha Khan, Rohan Das",$175k,$560k,$14.4M,Successful
NextGen BioTech Wave 96,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2017-10-06,"David Chen, Li Wei",$383k,$915k,$13.0M,Failed
Elite Cybersecurity Labs 97,France,A leading France-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2020-04-11,David Chen,$189k,$1.3M,$4.9M,Successful
Elite Cybersecurity Network 98,USA,A leading USA-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2022-01-01,Anjali Rao,$277k,$1.9M,$5.5M,Successful
Smart Cybersecurity Wave 99,Israel,A leading Israel-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2012-10-01,"Elena Rossi, Sarah Jenkins, Anjali Rao",$376k,$994k,$13.5M,Successful
Global EdTech Point 100,Brazil,A leading Brazil-based EdTech startup specializing in scalable and innovative solutions for the global market.,2019-04-11,"Vikram Singh, Michael O'Connor",$126k,$1.6M,$6.3M,Successful
Smart AgriTech Flow 101,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2022-02-17,"Aisha Khan, Sanjay Gupta, Priya Sharma",$256k,$1.2M,$7.9M,Successful
Quantum E-commerce Flow 102,India,A leading India-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2020-05-14,"Sarah Jenkins, Sanjay Gupta, Anjali Rao",$460k,$322k,$8.3M,Acquired
Elite Cybersecurity Flow 103,Japan,A leading Japan-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2021-03-25,"Elena Rossi, Emma Wilson, Li Wei",$469k,$1.0M,$8.9M,Failed
Quantum AgriTech Technologies 104,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2018-01-17,"Vikram Singh, Priya Sharma",$319k,$1.4M,$6.8M,Successful
Prime EdTech Network 105,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2015-02-14,"David Chen, Li Wei",$249k,$557k,$3.8M,Successful
Apex Cybersecurity Technologies 106,Germany,A leading Germany-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2010-05-20,"Anjali Rao, Vikram Singh",$452k,$857k,$3.7M,Successful
Global AgriTech Network 107,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2021-02-12,Aisha Khan,$410k,$345k,$7.0M,Successful
Global AgriTech Wave 108,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2012-09-06,"Emma Wilson, Arjun Mehta, Li Wei",$405k,$1.4M,$4.8M,Successful
Zenith PropTech Solutions 109,Japan,A leading Japan-based PropTech startup specializing in scalable and innovative solutions for the global market.,2022-04-22,"Li Wei, Kavita Reddy, Arjun Mehta",$189k,$805k,$5.1M,Successful
Apex E-commerce Solutions 110,Brazil,A leading Brazil-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2011-08-02,Anjali Rao,$129k,$1.1M,$10.2M,Successful
Apex EdTech Technologies 111,France,A leading France-based EdTech startup specializing in scalable and innovative solutions for the global market.,2019-06-06,"Li Wei, Aisha Khan, David Chen",$178k,$1.2M,$5.1M,Successful
Zenith AgriTech Solutions 112,USA,A leading USA-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2011-06-11,"Sarah Jenkins, Arjun Mehta, David Chen",$338k,$764k,$8.4M,Acquired
Apex CleanTech Labs 113,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2020-08-27,"David Chen, Vikram Singh, Sanjay Gupta",$39k,$893k,$5.1M,Successful
Quantum BioTech Flow 114,France,A leading France-based BioTech startup specializing in scalable and innovative solutions for the global market.,2021-09-11,"Arjun Mehta, Kavita Reddy, Aisha Khan",$331k,$1.0M,$10.1M,Successful
Elite Logistics Point 115,Singapore,A leading Singapore-based Logistics startup specializing in scalable and innovative solutions for the global market.,2020-04-20,David Chen,$141k,$1.4M,$1.0M,Acquired
Apex FinTech Labs 116,Singapore,A leading Singapore-based FinTech startup specializing in scalable and innovative solutions for the global market.,2017-10-07,"Li Wei, Kavita Reddy, Rohan Das",$327k,$639k,$13.2M,Acquired
Nova BioTech Systems 117,Singapore,A leading Singapore-based BioTech startup specializing in scalable and innovative solutions for the global market.,2020-01-25,"Anjali Rao, Priya Sharma, Sarah Jenkins",$242k,$1.7M,$6.2M,Successful
Quantum BioTech Wave 118,Japan,A leading Japan-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-07-06,"Kavita Reddy, Elena Rossi",$185k,$1.4M,$14.1M,Failed
Apex BioTech Technologies 119,Germany,A leading Germany-based BioTech startup specializing in scalable and innovative solutions for the global market.,2019-02-11,"Elena Rossi, Arjun Mehta",$137k,$1.7M,$13.6M,Failed
Quantum AI/ML Solutions 120,Israel,A leading Israel-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2013-07-16,Sanjay Gupta,$471k,$1.4M,$11.8M,Failed
Nova EdTech Systems 121,UK,A leading UK-based EdTech startup specializing in scalable and innovative solutions for the global market.,2018-06-18,"Aisha Khan, Kavita Reddy",$7k,$429k,$9.7M,Successful
Apex Cybersecurity Hub 122,Australia,A leading Australia-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2018-09-10,"Li Wei, Sanjay Gupta, David Chen",$227k,$1.1M,$1.7M,Successful
Global AgriTech Labs 123,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2020-05-22,"Kavita Reddy, Li Wei",$381k,$709k,$9.6M,Successful
Nova Logistics Hub 124,France,A leading France-based Logistics startup specializing in scalable and innovative solutions for the global market.,2011-09-08,"Sanjay Gupta, Michael O'Connor, Rohan Das",$275k,$1.1M,$5.2M,Acquired
Zenith BioTech Labs 125,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2010-04-26,Priya Sharma,$219k,$1.3M,$7.0M,Successful
Global SaaS Hub 126,Canada,A leading Canada-based SaaS startup specializing in scalable and innovative solutions for the global market.,2015-07-18,Emma Wilson,$367k,$368k,$14.2M,Acquired
Quantum EdTech Network 127,Germany,A leading Germany-based EdTech startup specializing in scalable and innovative solutions for the global market.,2016-05-25,Vikram Singh,$101k,$1.2M,$1.3M,Successful
Smart AgriTech Network 128,Brazil,A leading Brazil-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2018-07-08,"Arjun Mehta, Priya Sharma",$243k,$1.5M,$1.4M,Failed
Apex AgriTech Flow 129,Japan,A leading Japan-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2022-08-19,"Vikram Singh, Arjun Mehta",$395k,$142k,$12.5M,Successful
Prime AI/ML Hub 130,Canada,A leading Canada-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2021-12-19,Michael O'Connor,$142k,$1.3M,$8.9M,Successful
Quantum CleanTech Point 131,South Korea,A leading South Korea-based CleanTech startup specializing in scalable and innovative solutions for the global market.,2018-01-12,"Rohan Das, Priya Sharma",$223k,$575k,$13.0M,Acquired
Global EdTech Point 132,Israel,A leading Israel-based EdTech startup specializing in scalable and innovative solutions for the global market.,2021-01-10,"Sanjay Gupta, Arjun Mehta, Rohan Das",$323k,$1.2M,$12.0M,Failed
Quantum AgriTech Solutions 133,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2010-02-04,"Li Wei, Anjali Rao, Emma Wilson",$466k,$1.2M,$7.9M,Successful
Prime AI/ML Systems 134,USA,A leading USA-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2012-10-23,"Sarah Jenkins, Elena Rossi, Emma Wilson",$221k,$1.9M,$10.0M,Successful
Nova FinTech Systems 135,Australia,A leading Australia-based FinTech startup specializing in scalable and innovative solutions for the global market.,2012-02-27,"Emma Wilson, Rohan Das",$470k,$1.9M,$14.6M,Successful
NextGen Cybersecurity Network 136,India,A leading India-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2010-03-15,"Michael O'Connor, Arjun Mehta, Priya Sharma",$212k,$1.6M,$6.7M,Successful
Zenith BioTech Systems 137,Israel,A leading Israel-based BioTech startup specializing in scalable and innovative solutions for the global market.,2012-03-09,Vikram Singh,$240k,$327k,$7.0M,Successful
Core FinTech Flow 138,Singapore,A leading Singapore-based FinTech startup specializing in scalable and innovative solutions for the global market.,2014-06-12,Michael O'Connor,$179k,$894k,$2.9M,Successful
Prime Logistics Systems 139,Japan,A leading Japan-based Logistics startup specializing in scalable and innovative solutions for the global market.,2010-02-20,"Rohan Das, Michael O'Connor",$465k,$317k,$6.3M,Successful
Zenith AgriTech Wave 140,France,A leading France-based AgriTech startup specializing in scalable and innovative solutions for the global market.,2012-07-21,"Rohan Das, Li Wei",$49k,$1.0M,$10.8M,Successful
Prime PropTech Technologies 141,USA,A leading USA-based PropTech startup specializing in scalable and innovative solutions for the global market.,2019-02-06,"Vikram Singh, Li Wei",$378k,$1.7M,$14.7M,Acquired
Core Logistics Labs 142,Israel,A leading Israel-based Logistics startup specializing in scalable and innovative solutions for the global market.,2019-10-23,Michael O'Connor,$127k,$713k,$10.8M,Acquired
NextGen PropTech Nexus 143,Israel,A leading Israel-based PropTech startup specializing in scalable and innovative solutions for the global market.,2020-06-06,"Rohan Das, Sarah Jenkins, Vikram Singh",$77k,$1.9M,$3.1M,Successful
Global Logistics Labs 144,Germany,A leading Germany-based Logistics startup specializing in scalable and innovative solutions for the global market.,2015-04-07,"Anjali Rao, Kavita Reddy, Sanjay Gupta",$225k,$929k,$13.5M,Successful
Smart HealthTech Systems 145,Singapore,A leading Singapore-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2014-03-25,Li Wei,$244k,$305k,$12.1M,Failed
Zenith BioTech Wave 146,UK,A leading UK-based BioTech startup specializing in scalable and innovative solutions for the global market.,2013-04-28,Aisha Khan,$95k,$1.6M,$11.6M,Successful
Apex AI/ML Systems 147,Japan,A leading Japan-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2017-04-03,Michael O'Connor,$41k,$2.0M,$9.2M,Successful
Smart HealthTech Nexus 148,Singapore,A leading Singapore-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2016-04-11,"Vikram Singh, Kavita Reddy",$65k,$1.9M,$14.6M,Acquired
Smart PropTech Nexus 149,Canada,A leading Canada-based PropTech startup specializing in scalable and innovative solutions for the global market.,2010-09-05,"Sarah Jenkins, Elena Rossi, Emma Wilson",$44k,$1.8M,$10.7M,Successful
